EMPLID,EMPL_RCD,EFFDT,EFFSEQ,PER_ORG,DEPTID,JOBCODE,POSITION_NBR,SUPERVISOR_ID,HR_STATUS,APPT_TYPE,MAIN_APPT_NUM_JPN,POSITION_OVERRIDE,POSN_CHANGE_RECORD,EMPL_STATUS,ACTION,ACTION_DT,ACTION_REASON,LOCATION,TAX_LOCATION_CD,JOB_ENTRY_DT,DEPT_ENTRY_DT,POSITION_ENTRY_DT,SHIFT,REG_TEMP,FULL_PART_TIME,COMPANY,PAYGROUP,BAS_GROUP_ID,ELIG_CONFIG1,ELIG_CONFIG2,ELIG_CONFIG3,ELIG_CONFIG4,ELIG_CONFIG5,ELIG_CONFIG6,ELIG_CONFIG7,ELIG_CONFIG8,ELIG_CONFIG9,BEN_STATUS,BAS_ACTION,COBRA_ACTION,EMPL_TYPE,HOLIDAY_SCHEDULE,STD_HOURS,STD_HRS_FREQUENCY,OFFICER_CD,EMPL_CLASS,SAL_ADMIN_PLAN,GRADE,GRADE_ENTRY_DT,STEP,STEP_ENTRY_DT,GL_PAY_TYPE,ACCT_CD,EARNS_DIST_TYPE,COMP_FREQUENCY,COMPRATE,CHANGE_AMT,CHANGE_PCT,ANNUAL_RT,MONTHLY_RT,DAILY_RT,HOURLY_RT,ANNL_BENEF_BASE_RT,SHIFT_RT,SHIFT_FACTOR,CURRENCY_CD,BUSINESS_UNIT,SETID_DEPT,SETID_JOBCODE,SETID_LOCATION,SETID_SALARY,SETID_EMPL_CLASS,REG_REGION,DIRECTLY_TIPPED,FLSA_STATUS,EEO_CLASS,FUNCTION_CD,TARIFF_GER,TARIFF_AREA_GER,PERFORM_GROUP_GER,LABOR_TYPE_GER,SPK_COMM_ID_GER,HOURLY_RT_FRA,ACCDNT_CD_FRA,VALUE_1_FRA,VALUE_2_FRA,VALUE_3_FRA,VALUE_4_FRA,VALUE_5_FRA,CTG_RATE,PAID_HOURS,PAID_FTE,PAID_HRS_FREQUENCY,UNION_FULL_PART,UNION_POS,MATRICULA_NBR,SOC_SEC_RISK_CODE,UNION_FEE_AMOUNT,UNION_FEE_START_DT,UNION_FEE_END_DT,EXEMPT_JOB_LBR,EXEMPT_HOURS_MONTH,WRKS_CNCL_FUNCTION,INTERCTR_WRKS_CNCL,CURRENCY_CD1,PAY_UNION_FEE,UNION_CD,BARG_UNIT,UNION_SENIORITY_DT,ENTRY_DATE,LABOR_AGREEMENT,EMPL_CTG,EMPL_CTG_L1,EMPL_CTG_L2,SETID_LBR_AGRMNT,WPP_STOP_FLAG,LABOR_FACILITY_ID,LBR_FAC_ENTRY_DT,LAYOFF_EXEMPT_FLAG,LAYOFF_EXEMPT_RSN,GP_PAYGROUP,GP_DFLT_ELIG_GRP,GP_ELIG_GRP,GP_DFLT_CURRTTYP,CUR_RT_TYPE,GP_DFLT_EXRTDT,GP_ASOF_DT_EXG_RT,ADDS_TO_FTE_ACTUAL,CLASS_INDC,ENCUMB_OVERRIDE,FICA_STATUS_EE,FTE,PRORATE_CNT_AMT,PAY_SYSTEM_FLG,BORDER_WALKER,LUMP_SUM_PAY,CONTRACT_NUM,JOB_INDICATOR,WRKS_CNCL_ROLE_CHE,BENEFIT_SYSTEM,WORK_DAY_HOURS,REPORTS_TO,FORCE_PUBLISH,JOB_DATA_SRC_CD,ESTABID,SUPV_LVL_ID,SETID_SUPV_LVL,ABSENCE_SYSTEM_CD,POI_TYPE,HIRE_DT,LAST_HIRE_DT,TERMINATION_DT,ASGN_START_DT,LST_ASGN_START_DT,ASGN_END_DT,LDW_OVR,LAST_DATE_WORKED,EXPECTED_RETURN_DT,EXPECTED_END_DATE,AUTO_END_FLG,LASTUPDDTTM,LASTUPDOPRID
KULB05,0,1/1/2000,0,EMP,22000,310015, , ,A,0,0,N,N,A,HIR,9/24/2004, ,KUNY00,KUPA16,1/1/2000,1/1/2000,,N,R,F,GBI,KU2, , , , , , , , , , ,A,HIR, ,S,KU01,40,W,N, ,KU01,006,1/1/2000,0,, , ,N,B,1923.076923,0,0,50000,4166.667,192.308,24.038462,0,0,0,USD,GBIBU,SHARE,SHARE,SHARE,SHARE, ,USA,N,N,N, , , , , , , , , , , , , ,0,0,0, , , ,0, ,0,,,N,0, , ,USD,N, , ,,, , , , ,USA,N, ,,N, , ,Y, ,Y, ,Y, ,N,C,N,N,1,N,NA,N,N, ,P, ,BA,0, ,, ,KU001, , ,OT, ,1/1/2000,1/1/2000,,1/1/2000,1/1/2000,,N,,,,N,9/24/2004 1:20:49.000000 AM,SAMPLE
KUL906,0,4/1/1990,0,EMP,42000,290055, , ,A,0,0,N,N,A,PAY,5/24/2002,MER,KUNY00,KUNY00,1/1/1980,1/1/1980,,N,R,F,GBI,KL8, , , , , , , , , , ,A, , ,S,KU01,40,W,N, ,KU01,001,1/1/1980,0,, , ,N,M,2000,125,6.667,24000,2000,92.308,11.538462,0,0,0,USD,GBIBU,SHARE,SHARE,SHARE,SHARE, ,USA,N,N,N, , , , , , , , , , , , , ,0,0,0, , , ,0, ,0,,,N,0, , ,USD,N, , ,,, , , , ,USA,N, ,,N, , ,Y, ,Y, ,Y, ,N,C,N,N,1,N,NA,N,N, ,P, ,BN,0, ,, , , , ,OT, ,1/1/1980,1/1/1980,,1/1/1980,1/1/1980,,N,,,,N,5/5/2004 12:00:00.000000 AM, 
KUL100,0,1/1/2000,0,EMP,27000,820145,19000431, ,A,0,0,N,N,A,HIR,5/23/2002, ,KUOK00, ,1/1/2000,1/1/2000,1/1/2000,N,R,F,GBI, , , , , , , , , , , ,A, , , ,KU01,40,W,N, ,KU01,007,1/1/2000,0,, , ,N,M,6666.666667,0,0,80000,6666.667,307.692,38.461538,0,0,0,USD,GBIBU,SHARE,SHARE,SHARE,SHARE, ,USA,N,N,N, , , , , , , , , , , , , ,0,0,0, , , ,0, ,0,,,N,0, , ,USD,N, , ,,, , , , ,USA,N, ,,N, , ,Y, ,Y, ,Y, ,N,C,N,N,1,N,OT,N,N, ,P, ,BN,0,19000430,, , , , ,OT, ,1/1/2000,1/1/2000,,1/1/2000,1/1/2000,,N,,,,N,5/5/2004 12:00:00.000000 AM, 
KUZ012,0,5/21/1997,0,EMP,10500,140065,19360011, ,A,0,0,N,N,A,HIR,8/9/2001, ,KUNY00,KUNY00,5/21/1997,5/21/1997,5/21/1997,N,R,F,GBI,KU2, , , , , , , , , , ,A,HIR, ,H,KU01,40,W,N, ,KU01,004,5/21/1997,0,, , ,N,M,2916.666667,0,0,35000,2916.667,134.615,16.826923,0,0,0,USD,GBIBU,SHARE,SHARE,SHARE,SHARE, ,USA,N,N,N, , , , , , , , , , , , , ,0,0,0, , , ,0, ,0,,,N,0, , ,USD,N, , ,,, , , , ,USA,N, ,,N, , ,Y, ,Y, ,Y, ,N,C,N, ,1,N,NA,N,N, ,P, ,BN,0,19360010,, ,KU001, , ,OT, ,5/21/1997,5/21/1997,,5/21/1997,5/21/1997,,N,,,,N,8/8/2006 11:57:33.000000 AM,SAMPLE
KUI006,0,6/29/1995,0,EMP,42000,820065, ,KU0005,A,0,0,N,N,A,POS,7/14/2000, ,KUTX00,KUTX00,4/13/1990,4/13/1990,,N,R,P,GBI,KU7, , , , , , , , , , ,A, ,RED,H,KU01,20,W,N, ,KU01,007,4/13/1990,0,, , ,N,H,20,0,0,20800,1733.333,80,20,0,0,0,USD,GBIBU,SHARE,SHARE,SHARE,SHARE, ,USA,N,N,N, , , , , , , , , , , , , ,0,0,0, , , ,0, ,0,,,N,0, , , ,N, , ,,, , , , , ,N, ,,N, , ,Y, ,Y, ,Y, ,N,C,N,N,0.5,N,PI,N,N, ,P, ,BN,0, ,, ,KU001, , ,OT, ,4/13/1990,4/13/1990,,4/13/1990,4/13/1990,,N,,,,N,5/5/2004 12:00:00.000000 AM, 
KU0106,3,5/25/2000,0,EMP,14000,820135,19000091,KU0004,I,0,3,Y,N,T,TER,7/26/2000,PER,KUNY00,KUIA00,5/28/1999,5/28/1999,5/28/1999,N,R,F,GBI,KU4,KU1, , , , , , , , , ,T,TER, ,H,KU01,10,W,N, ,KU01,004,5/28/1999,0,, , ,N,M,433.333333,0,0,5200,433.333,20,10,0,0,0,USD,US004,SHARE,SHARE,SHARE,SHARE, ,USA,N,N,N, , , , , , , , , , , , , ,0,0,0, , , ,0, ,0,,,N,0, , , ,N, , ,,, , , , , ,N, ,,N, , ,Y, ,Y, ,Y, ,N,C,N,N,0,N,NA,N,N, ,S, ,BA,2, ,, ,KU001, , ,OT, ,,,5/24/2000,5/28/1999,5/28/1999,5/24/2000,N,5/24/2000,,,N,5/5/2004 12:00:00.000000 AM, 
KNG003,0,4/1/2000,0,EMP,42000,820000, ,KNG001,A,0,0,N,N,A,HIR,7/2/2002, ,KN06, ,4/1/2000,4/1/2000,,N,R,F,KN2, , , , , , , , , , , ,A, , ,N,KN01,40,W,N, , , ,,0,, , ,N,M,0,0,0,0,0,0,0,0,0,0,USD,NLD02,NLD02,NLD01,NLD01, , ,USA,N,N,N, , , , , , , , , , , , , ,0,0,0, , , ,0, ,0,,,N,0, , ,USD,N, , ,,, , , , , ,N, ,,N, ,KNMONTH,Y, ,Y, ,Y, ,N,C,N,N,1,N,GP,N,N, ,P, ,OT,0, ,, , , , ,AM, ,4/1/2000,4/1/2000,,4/1/2000,4/1/2000,,N,,,,N,5/5/2004 12:00:00.000000 AM, 
KUZ016,0,12/1/2002,0,EMP,14000,800000, ,KUZ013,A,0,0,N,N,A,DTA,8/10/2001, ,KUNY00,KUNJ00,8/2/1996,8/2/1996,,N,R,F,GBI,KU2, , , , , , , , , , ,A,DTA, ,H,KU01,40,W,N, ,KU01,002,8/2/1996,0,, , ,N,M,1733.333333,0,0,20800,1733.333,80,10,0,0,0,USD,GBIBU,SHARE,SHARE,SHARE,SHARE, ,USA,N,A,N, , , , , , , , , , , , , ,0,0,0, , , ,0, ,0,,,N,0, , ,USD,N, , ,,, , , , ,USA,N, ,,N, , ,Y, ,Y, ,Y, ,N,C,N,N,1,N,NA,N,N, ,P, ,BN,0, ,, ,KU001, , ,OT, ,8/2/1996,8/2/1996,,8/2/1996,8/2/1996,,N,,,,N,8/8/2006 11:59:46.000000 AM,SAMPLE
KU0207,2,5/1/1999,0,EMP,ALL_DEPTS,290035, , ,A,0,2,N,N,A,HIR,7/13/2004, ,KUTX00,KUTN00,5/1/1999,5/1/1999,,N,R,F,GBI,KU1, , , , , , , , , , ,A,HIR, ,S,KU01,10,W,N, ,WADC,03,5/1/1999,0,, , ,N,W,3.461538,0,0,180,15,0.692,0.346154,0,0,0,USD,GBIBU,SHARE,SHARE,SHARE,SHARE, ,USA,N,X,N, , , , , , , , , , , , , ,0,0,0, , , ,0, ,0,,,N,0, , ,USD,N, , ,,, , , , ,USA,N, ,,N, ,K0WPG KU1,Y, ,Y, ,Y, ,N,C,N,N,0,N,NA,N,N, ,S, ,BA,0, ,, , , , ,AM, ,5/1/1999,5/1/1999,,5/1/1999,5/1/1999,,N,,,,N,8/17/2008 7:46:49.000000 AM,SAMPLE
KZ0001,0,1/1/2001,0,EMP,25000,600125, , ,A,0,0,N,N,A,PRO,6/18/2001,OPR,KZWEL1, ,1/1/2001,3/4/1984,,N,R,F,KZB, , , , , , , , , , , ,A, , ,S,KZNZL,40,W,N, ,KZ01,005,1/1/2001,0,, , ,N,M,9166.666667,3750,69.231,110000,9166.667,423.077,52.884615,0,0,0,NZD,NZL01,NZL01,NZL01,NZL01,NZL01, ,NZL,N,N,N, , , , , , , , , , , , , ,0,0,0, , , ,0, ,0,,,N,0, , ,USD,N, , ,,, , , , ,NZL,N, ,1/1/2001,N, , ,Y, ,Y, ,Y, ,N,C,N,N,1,N,OT,N,N, ,P, ,OT,0, ,, , , , ,OT, ,3/4/1984,3/4/1984,,3/4/1984,3/4/1984,,N,,,,N,5/5/2004 12:00:00.000000 AM,SAMPLE
KULE06,0,1/1/2000,0,EMP,61000,570000, , ,A,0,0,N,N,A,HIR,10/12/2004, ,KUOH00,KUOH00,1/1/2000,1/1/2000,,N,R,F,GBI,KL1, , , , , , , , , , ,A, , ,H,KUL1,40,W,N, ,KU01,003,1/1/2000,0,, , ,N,W,400,0,0,20800,1733.333,80,10,0,0,0,USD,US006,SHARE,SHARE,SHARE,SHARE, ,USA,N,N,N, , , , , , , , , , , , , ,0,0,0, , , ,0, ,0,,,N,0, , ,USD,N, , ,,, , , , ,USA,N, ,,N, , ,Y, ,Y, ,Y, ,N,C,N,N,1,N,NA,N,N, ,P, ,BN,0, ,, ,KU001, , ,OT, ,1/1/2000,1/1/2000,,1/1/2000,1/1/2000,,N,,,,N,10/12/2004 11:50:55.000000 AM,SAMPLE
KJLA12,0,1/1/2003,0,EMP,10000,820055, , ,A,0,0,N,N,A,HIR,2/1/2005, ,KJ01, ,1/1/2003,1/1/2003,,N,R,F,KJ1, , , , , , , , , , , ,A, , ,N,KJ01,24,W,N, ,KJ11,02,1/1/2003,1,1/1/2003, , ,N,JM,200000,0,0,2400000,200000,9230.769,1923.076923,0,0,0,JPY,JPN01,JPN01,JPN01,JPN01,JPN01, ,JPN,N,N,N, , , , , , , , , , , , , ,0,0,0, , , ,0, ,0,,,N,0, , ,USD,N, , ,,, , , , , ,N, ,,N, ,KJLM12,Y, ,Y, ,Y, ,N,C,N,N,0.6,N,GP,N,N, ,P, ,OT,0, ,, , , , ,AM, ,1/1/2003,1/1/2003,,1/1/2003,1/1/2003,,N,,,,N,2/1/2005 3:28:25.000000 PM,SAMPLE
KULM09,0,1/1/2000,0,EMP,10000,820045, ,KU0005,A,0,0,N,N,A,HIR,10/9/2004, ,KUCA00,KUCA00,1/1/2000,1/1/2000,,N,R,F,GBI,KL3, , , , , , , , , , ,A, , ,S,KU01,40,W,N, ,KU01,006,1/1/2000,0,, , ,N,M,6000,0,0,72000,6000,276.923,34.615385,0,0,0,USD,GBIBU,SHARE,SHARE,SHARE,SHARE, ,USA,N,N,N, , , , , , , , , , , , , ,0,0,0, , , ,0, ,0,,,N,0, , ,USD,N, , ,,, , , , ,USA,N, ,,N, , ,Y, ,Y, ,Y, ,N,C,N,N,1,N,PI,N,N, ,P, ,BN,0, ,, ,KU001, , ,OT, ,1/1/2000,1/1/2000,,1/1/2000,1/1/2000,,N,,,,N,10/9/2004 10:44:05.000000 PM,SAMPLE
KUV331,0,12/31/2007,0,CWR,66666,310015, ,KUV085,A,0,0,N,N,A,PAY,7/1/2009,MER,KUV,KUV,1/1/2000,1/1/2000,,N,R,F,KUV,KU1, , , , , , , , , , ,A, , ,S,KU01,40,W,N, ,KUV, ,,0,, , ,N,M,4463.333333,130,3,53560,4463.333,206,25.75,0,0,0,USD,GBIBU,SHARE,SHARE,SHARE,SHARE, ,USA,N,N,N, , , , , , , , , , , , , ,0,0,0, , , ,0, ,0,,,N,0, , ,USD,N, , ,,, , , , , ,N, ,,N, , ,Y, ,Y, ,Y, ,N,C,N,N,1,N,NA,N,N, ,P, ,BN,0, ,, ,KUV, , ,OT, ,1/1/2000,1/1/2000,,1/1/2000,1/1/2000,,N,,,,N,7/1/2009 6:32:20.000000 PM,SAMPLE
KU0044,0,11/4/2008,0,EMP,13110,140035, ,KU0046,A,0,0,N,N,A,DTA,11/10/2008, ,KUNY00,KUMD00,11/4/2008,11/4/2008,,N,R,F,GBI,KU5,KU1, , , , , , , , , ,A,DTA, ,H,KU01,40,W,N, ,KU01,004,11/4/2008,0,, , ,N,M,3000,83.333333,2.857,36000,3000,138.462,17.307692,0,0,0,USD,US005,SHARE,SHARE,SHARE,SHARE, ,USA,N,N,N, , , , , , , , , , , , , ,0,0,0, , , ,0, ,0,,,N,0, , ,USD,N, , ,,, , , , , ,N, ,,N, , ,Y, ,Y, ,Y, ,N,C,N,N,1,N,NA,N,N, ,P, ,BA,0, ,,000,KU001, , ,OT, ,7/5/1986,7/5/1986,,7/5/1986,7/5/1986,,N,,,,N,2/27/2015 6:59:26.000000 PM,SAMPLE
KUV010,0,1/1/2000,0,EMP,22200,600110, ,KUV009,A,0,0,N,N,A,HIR,3/17/2009, ,KUV,KUV,1/1/2000,1/1/2000,,N,R,F,KUV,KU1, , , , , , , , , , ,A, , ,S,KU01,40,W,N, ,KUV, ,,0,, , ,N,A,99999.999996,0,0,100000,8333.333,384.615,48.076923,0,0,0,USD,GBIBU,SHARE,SHARE,SHARE,SHARE, ,USA,N,N,N, , , , , , , , , , , , , ,0,0,0, , , ,0, ,0,,,N,0, , ,USD,N, , ,,, , , , , ,N, ,,N, , ,Y, ,Y, ,Y, ,N,C,N,N,1,N,NA,N,N, ,P, ,BN,0, ,, ,KUV, , ,OT, ,1/1/2000,1/1/2000,,1/1/2000,1/1/2000,,N,,,,N,3/17/2009 9:15:02.000000 PM,SAMPLE
KWG121,0,6/1/2004,0,EMP,20200,28-001, ,KWG034,A,0,0,N,N,A,HIR,8/11/2006, ,KW06, ,6/1/2004,6/1/2004,,N,R,F,KW2, , , , , , , , , , , ,A, , ,N,CLU,40,W,N,ZL,KW01,223,6/1/2004,0,, , ,N,M,0,0,0,0,0,0,0,0,0,0,CHF,CHE01,CHE01,CHE01,CHE01,CHE01,CHE,CHE,N,N,N, , , , , , , , , , , , , ,0,0,0, , , ,0, ,0,,,N,0, , ,USD,N, , ,,, , , , , ,N, ,,N, ,KW21,Y, ,Y, ,Y, ,N,C,N,N,1,N,GP,N,N,0001,P, ,OT,0, ,, , , , ,AM, ,6/1/2004,6/1/2004,,6/1/2004,6/1/2004,,N,,,,N,11/30/2012 2:59:14.000000 AM,SAMPLE
KDG057,0,1/1/2002,0,EMP,21600,750000, ,KDG063,A,0,0,N,N,A,DTA,10/11/2002, ,KD912, ,10/1/1999,10/1/1999,,N,R,F,KD1, , , , , , , , , , , ,A, , ,N,DBY,40,W,N, ,KD01, ,,0,, , ,N,M,1278.23,0,0,15338.76,1278.23,58.995,7.374404,0,0,0,EUR,DEU01,DEU01,DEU01,DEU01,DEU01, ,DEU,N,N,N, ,01,M15,A2, , , , , , , , , ,0,0,0, , , ,0, ,0,,,N,0, , ,DEM,N, , ,,10/1/1999,KD01,001, , ,DEU,N, ,,N, ,KDG02,Y, ,Y, ,Y, ,N,C,N,N,1,N,GP,N,N, ,P, ,OT,0, ,, , , , ,AM, ,10/1/1999,10/1/1999,,10/1/1999,10/1/1999,,N,,,,N,5/5/2004 12:00:00.000000 AM, 
KUD005,0,1/1/2002,0,EMP,10000,130030, ,KUD007,A,0,0,N,N,A,HIR,7/19/2002,NPS,KUCA00,KUCA00,1/1/2002,1/1/2002,,N,R,F,GBI,KU4, , , , , , , , , , ,A,HIR, ,S,KU01,40,W,N, ,KU01,005,1/1/2002,0,, , ,N,M,4000,0,0,48000,4000,184.615,23.076923,0,0,0,USD,GBIBU,SHARE,SHARE,SHARE,SHARE, ,USA,N,P,N, , , , , , , , , , , , , ,0,0,0, , , ,0, ,0,,,N,0, , ,USD,N, , ,,, , , , , ,N, ,,N, , ,Y, ,Y, ,Y, ,N,C,N,N,1,N,NA,N,N, ,P, ,BA,0, ,, , , , ,OT, ,1/1/2002,1/1/2002,,1/1/2002,1/1/2002,,N,,,,N,8/8/2006 5:09:12.000000 PM,SAMPLE
KWG034,0,9/1/1998,0,EMP,10000,600045, ,KWG004,A,0,0,N,N,A,HIR,7/1/2001, ,KW01, ,9/1/1998,9/1/1998,,N,R,F,KW1, , , , , , , , , , , ,A, , ,N,KWZH,40,W,N, ,KW01,G1,9/1/1998,1,9/1/1998, , ,N,M,0,0,0,0,0,0,0,0,0,0,CHF,CHE01,CHE01,CHE01,CHE01,CHE01, ,CHE,N,N,N, , , , , , , , , , , , , ,0,0,0, , , ,0, ,0,,,N,0, , ,USD,N, , ,,, , , , ,CHE,N, ,,N, ,KW11,Y, ,Y, ,Y, ,N,C,N,N,1,N,GP,N,N, ,P, ,OT,0, ,, , , , ,AM, ,9/1/1998,9/1/1998,,9/1/1998,9/1/1998,,N,,,,N,5/5/2004 12:00:00.000000 AM,SAMPLE
KUL509,0,9/3/2001,0,EMP,60000,450020, , ,A,0,0,N,N,A,HIR,4/17/2002, ,KUOH00,KUOH00,9/3/2001,9/3/2001,,N,R,F,GBI,KL1, , , , , , , , , , ,A,HIR, ,H,KUL1,40,W,N, ,KU01, ,,0,, , ,N,W,600,0,0,31200,2600,120,15,0,0,0,USD,US006,SHARE,SHARE,SHARE,SHARE, ,USA,N,N,N, , , , , , , , , , , , , ,0,0,0, , , ,0, ,0,,,N,0, , ,USD,N, , ,,, , , , , ,N, ,,N, , ,Y, ,Y, ,Y, ,N,C,N,N,1,N,NA,N,N, ,P, ,BA,0, ,, , , , ,OT, ,9/3/2001,9/3/2001,,9/3/2001,9/3/2001,,N,,,,N,5/5/2004 12:00:00.000000 AM, 
KWG040,0,1/1/2001,0,EMP,10000,600045, ,KWG004,A,0,0,N,N,A,DTA,9/11/2001, ,KW01, ,8/1/1999,8/1/1999,,N,R,F,KW1, , , , , , , , , , , ,A, , ,N,KWZH,40,W,N, ,KW01,G1,8/1/1999,1,8/1/1999, , ,N,M,8500,0,0,102000,8500,392.308,49.038462,0,0,0,CHF,CHE01,CHE01,CHE01,CHE01,CHE01, ,CHE,N,N,N, , , , , , , , , , , , , ,0,0,0, , , ,0, ,0,,,N,0, , ,USD,N, , ,,, , , , ,CHE,N, ,,N, ,KW11,Y, ,Y, ,Y, ,N,C,N,N,1,N,GP,N,N, ,P, ,OT,0, ,, , , , ,AM, ,8/1/1999,8/1/1999,,8/1/1999,8/1/1999,,N,,,,N,5/5/2004 12:00:00.000000 AM,SAMPLE
KI0005,0,3/3/1990,0,EMP,11000,600195, , ,A,0,0,N,N,A,HIR,10/13/2000, ,KIMI0002, ,3/3/1990,3/3/1990,,N,R,F,KI2, , , , , , , , , , , ,A, , ,S, ,37.5,W,N,3,KI01,A3,3/3/1990,2,3/3/1990, , ,N,M,7000000,0,0,84000000,7000000,323076.923,43076.923077,0,0,0,ITL,ITA02,ITA02,ITA02,ITA02,ITA01,ITA,ITA,N,N,N, , , , , , , , , , , , , ,0,0,0, ,F,N,0, ,0,,,N,0, , , ,N,UGT, ,1/1/1990,3/3/1990,KI01,AREA3,2, ,ITA,N, ,,N, , ,Y, ,Y, ,Y, ,N,C,N,N,1,N,OT,N,N,0001,P, ,BN,0, ,, , , , ,OT, ,3/3/1990,3/3/1990,,3/3/1990,3/3/1990,,N,,,,N,5/5/2004 12:00:00.000000 AM, 
KUL907,0,4/1/1987,0,EMP,42000,290055, , ,A,0,0,N,N,A,PAY,5/24/2002,MER,KUNY00,KUNY00,1/1/1980,1/1/1980,,N,R,F,GBI,KL8, , , , , , , , , , ,A, , ,S,KU01,40,W,N, ,KU01,001,1/1/1980,0,, , ,N,M,2000,125,6.667,24000,2000,92.308,11.538462,0,0,0,USD,GBIBU,SHARE,SHARE,SHARE,SHARE, ,USA,N,N,N, , , , , , , , , , , , , ,0,0,0, , , ,0, ,0,,,N,0, , ,USD,N, , ,,, , , , ,USA,N, ,,N, , ,Y, ,Y, ,Y, ,N,C,N,N,1,N,NA,N,N, ,P, ,BN,0, ,, , , , ,OT, ,1/1/1980,1/1/1980,,1/1/1980,1/1/1980,,N,,,,N,5/5/2004 12:00:00.000000 AM, 
KULB12,0,1/1/2000,0,EMP,22000,310015, , ,A,0,0,N,N,A,HIR,9/24/2004, ,KUNY00,KUPA16,1/1/2000,1/1/2000,,N,R,F,GBI,KU2, , , , , , , , , , ,A,HIR, ,S,KU01,40,W,N, ,KU01,006,1/1/2000,0,, , ,N,B,1923.076923,0,0,50000,4166.667,192.308,24.038462,0,0,0,USD,GBIBU,SHARE,SHARE,SHARE,SHARE, ,USA,N,N,N, , , , , , , , , , , , , ,0,0,0, , , ,0, ,0,,,N,0, , ,USD,N, , ,,, , , , ,USA,N, ,,N, , ,Y, ,Y, ,Y, ,N,C,N,N,1,N,NA,N,N, ,P, ,BA,0, ,, ,KU001, , ,OT, ,1/1/2000,1/1/2000,,1/1/2000,1/1/2000,,N,,,,N,9/24/2004 2:16:33.000000 AM,SAMPLE
KWG121,0,2/28/2006,0,EMP,20200,28-001, ,KWG034,I,0,0,N,N,T,TER,8/14/2006, ,KW06, ,6/1/2004,6/1/2004,,N,R,F,KW2, , , , , , , , , , , ,T, , ,N,CLU,40,W,N,ZL,KW01,223,6/1/2004,0,, , ,N,M,1833.333333,1833.333333,0,22000,1833.333,84.615,10.576923,0,0,0,CHF,CHE01,CHE01,CHE01,CHE01,CHE01,CHE,CHE,N,N,N, , , , , , , , , , , , , ,0,0,0, , , ,0, ,0,,,N,0, , ,USD,N, , ,,, , , , , ,N, ,,N, ,KW21,Y, ,Y, ,Y, ,N,C,N,N,1,N,GP,N,N,0001,P, ,OT,0, ,,000, , , ,AM, ,6/1/2004,6/1/2004,2/27/2006,6/1/2004,6/1/2004,2/27/2006,N,2/27/2006,,,N,11/20/2012 11:51:46.000000 AM,SAMPLE
KUL708,0,1/1/1997,0,EMP,13000,140040, ,KU0007,A,0,0,N,N,A,HIR,10/4/2004, ,KUNY00, ,1/1/1997,1/1/1997,,N,R,F,GBI, , , , , , , , , , , ,A, , , ,KU01,40,W,N, ,KU01,006,1/1/1997,0,, , ,N,M,7500,0,0,90000,7500,346.154,43.269231,0,0,0,USD,GBIBU,SHARE,SHARE,SHARE,SHARE, ,USA,D,N,N, , , , , , , , , , , , , ,0,0,0, , , ,0, ,0,,,N,0, , ,USD,N, , ,,, , , , ,USA,N, ,,N, , ,Y, ,Y, ,Y, ,N,C,N,N,1,N,OT,N,N, ,P, ,BN,0, ,, ,KU001, , ,OT, ,1/1/1997,1/1/1997,,1/1/1997,1/1/1997,,N,,,,N,10/4/2004 3:07:45.000000 AM,SAMPLE
KGLD02,0,6/1/1997,0,EMP,10200,820000, , ,A,0,0,N,N,A,HIR,1/31/2005, ,KG01, ,6/1/1997,6/1/1997,,N,R,F,KG1, , , , , , , , , , , ,A, , ,N,KGEN,120,M,N, ,KG01,06,6/1/1997,0,, , ,N,M,576,0,0,6912,576,26.585,4.8,0,0,0,GBP,GBR03,GBR01,GBR01,GBR01,GBR01, ,GBREN,N,N,N, , , , , , , , , , , , , ,0,0,0, , , ,0, ,0,,,N,0, , ,USD,N, , ,,, , , , , ,N, ,,N, ,KGLM02,Y, ,Y, ,Y, ,N,C,N,N,0.69,N,GP,N,N, ,P, ,OT,0, ,, , , , ,AM, ,6/1/1997,6/1/1997,,6/1/1997,6/1/1997,,N,,,,N,1/31/2005 10:22:45.000000 PM,SAMPLE
KWG111,0,11/1/2005,0,EMP,20200,29-001, ,KWG034,A,0,0,N,N,A,HIR,8/9/2006, ,KW04, ,11/1/2005,11/1/2005,,N,R,F,KW2, , , , , , , , , , , ,A, , ,N,CLU,40,W,N, ,KW01,223,11/1/2005,0,, , ,N,M,0,0,0,0,0,0,0,0,0,0,CHF,CHE01,CHE01,CHE01,CHE01,CHE01, ,CHE,N,N,N, , , , , , , , , , , , , ,0,0,0, , , ,0, ,0,,,N,0, , ,USD,N, , ,,, , , , , ,N, ,,N, ,KW21,Y, ,Y, ,Y, ,N,C,N,N,1,N,GP,N,N,0001,P, ,OT,0, ,, , , , ,AM, ,11/1/2005,11/1/2005,,11/1/2005,11/1/2005,,N,,,,N,11/30/2012 2:55:10.000000 AM,SAMPLE
